date,time,cpu_load,idle_time_cpu,kernal_process_time_cpu,normal_process_time_usermode_cpu,freq_max,freq_min,disk_usage_total,disk_usage_used,disk_usage_free,disk_usage_in_percent,disk_reading_count,disk_writing_count,disk_reading_bytes,disk_writing_bytes
24-02-2022,10:26:56,5.1,1602.3,49.04,151.19,0.0,0.0,14,10,2,79.8,38132,7302,1590441984,484267008
24-02-2022,10:26:57,3.1,1603.22,49.05,151.24,0.0,0.0,14,10,2,79.8,38132,7304,1590441984,484303872
24-02-2022,10:26:58,3.1,1604.17,49.06,151.26,0.0,0.0,14,10,2,79.8,38132,7304,1590441984,484303872
24-02-2022,10:26:59,3.1,1605.12,49.07,151.28,0.0,0.0,14,10,2,79.8,38132,7304,1590441984,484303872
24-02-2022,10:27:00,3.1,1606.07,49.08,151.31,0.0,0.0,14,10,2,79.8,38132,7304,1590441984,484303872
24-02-2022,10:27:01,5.1,1607.02,49.1,151.33,0.0,0.0,14,10,2,79.8,38132,7322,1590441984,484410368
24-02-2022,10:27:02,1.0,1607.96,49.12,151.36,0.0,0.0,14,10,2,79.8,38132,7322,1590441984,484410368
24-02-2022,10:27:03,1.0,1608.93,49.13,151.36,0.0,0.0,14,10,2,79.8,38132,7324,1590441984,484426752
24-02-2022,10:27:04,0.0,1609.9,49.13,151.37,0.0,0.0,14,10,2,79.8,38132,7324,1590441984,484426752
24-02-2022,10:27:05,1.0,1610.86,49.14,151.37,0.0,0.0,14,10,2,79.8,38132,7324,1590441984,484426752
